Layer,Concept Name,Rank
1,Achievement,406
1,Benevolence,993
1,Conformity,626
1,Hedonism,761
1,Power,487
1,Security,901
1,Self-direction,238
1,Stimulation,671
1,Tradition,413
1,Universalism,583
2,Achievement,406
2,Benevolence,998
2,Conformity,629
2,Hedonism,808
2,Power,488
2,Security,946
2,Self-direction,238
2,Stimulation,706
2,Tradition,413
2,Universalism,592
3,Achievement,406
3,Benevolence,997
3,Conformity,628
3,Hedonism,793
3,Power,488
3,Security,927
3,Self-direction,238
3,Stimulation,697
3,Tradition,413
3,Universalism,590
4,Achievement,406
4,Benevolence,997
4,Conformity,628
4,Hedonism,798
4,Power,488
4,Security,934
4,Self-direction,238
4,Stimulation,702
4,Tradition,413
4,Universalism,591
5,Achievement,406
5,Benevolence,997
5,Conformity,628
5,Hedonism,799
5,Power,488
5,Security,937
5,Self-direction,238
5,Stimulation,702
5,Tradition,413
5,Universalism,592
6,Achievement,406
6,Benevolence,997
6,Conformity,628
6,Hedonism,795
6,Power,488
6,Security,931
6,Self-direction,238
6,Stimulation,699
6,Tradition,413
6,Universalism,592
7,Achievement,406
7,Benevolence,997
7,Conformity,628
7,Hedonism,791
7,Power,488
7,Security,927
7,Self-direction,238
7,Stimulation,695
7,Tradition,413
7,Universalism,591
8,Achievement,406
8,Benevolence,996
8,Conformity,628
8,Hedonism,790
8,Power,488
8,Security,925
8,Self-direction,238
8,Stimulation,693
8,Tradition,413
8,Universalism,591
9,Achievement,406
9,Benevolence,996
9,Conformity,628
9,Hedonism,782
9,Power,488
9,Security,918
9,Self-direction,238
9,Stimulation,689
9,Tradition,413
9,Universalism,589
10,Achievement,406
10,Benevolence,995
10,Conformity,628
10,Hedonism,782
10,Power,488
10,Security,918
10,Self-direction,238
10,Stimulation,690
10,Tradition,413
10,Universalism,589
11,Achievement,406
11,Benevolence,995
11,Conformity,628
11,Hedonism,780
11,Power,488
11,Security,914
11,Self-direction,238
11,Stimulation,688
11,Tradition,413
11,Universalism,589
12,Achievement,406
12,Benevolence,994
12,Conformity,628
12,Hedonism,777
12,Power,488
12,Security,912
12,Self-direction,238
12,Stimulation,685
12,Tradition,413
12,Universalism,589
13,Achievement,406
13,Benevolence,994
13,Conformity,628
13,Hedonism,765
13,Power,487
13,Security,901
13,Self-direction,238
13,Stimulation,679
13,Tradition,413
13,Universalism,585
14,Achievement,406
14,Benevolence,991
14,Conformity,627
14,Hedonism,757
14,Power,487
14,Security,892
14,Self-direction,238
14,Stimulation,670
14,Tradition,413
14,Universalism,581
15,Achievement,405
15,Benevolence,991
15,Conformity,624
15,Hedonism,744
15,Power,486
15,Security,880
15,Self-direction,238
15,Stimulation,659
15,Tradition,413
15,Universalism,575
16,Achievement,403
16,Benevolence,988
16,Conformity,609
16,Hedonism,719
16,Power,480
16,Security,856
16,Self-direction,238
16,Stimulation,634
16,Tradition,412
16,Universalism,559
17,Achievement,402
17,Benevolence,986
17,Conformity,604
17,Hedonism,714
17,Power,478
17,Security,851
17,Self-direction,238
17,Stimulation,626
17,Tradition,411
17,Universalism,556
18,Achievement,400
18,Benevolence,985
18,Conformity,597
18,Hedonism,704
18,Power,473
18,Security,841
18,Self-direction,238
18,Stimulation,617
18,Tradition,407
18,Universalism,548
19,Achievement,394
19,Benevolence,981
19,Conformity,585
19,Hedonism,678
19,Power,461
19,Security,821
19,Self-direction,238
19,Stimulation,593
19,Tradition,400
19,Universalism,530
20,Achievement,373
20,Benevolence,979
20,Conformity,558
20,Hedonism,633
20,Power,434
20,Security,788
20,Self-direction,233
20,Stimulation,546
20,Tradition,378
20,Universalism,496
21,Achievement,364
21,Benevolence,979
21,Conformity,547
21,Hedonism,616
21,Power,420
21,Security,776
21,Self-direction,229
21,Stimulation,532
21,Tradition,367
21,Universalism,481
22,Achievement,361
22,Benevolence,979
22,Conformity,545
22,Hedonism,613
22,Power,417
22,Security,774
22,Self-direction,228
22,Stimulation,528
22,Tradition,364
22,Universalism,478
23,Achievement,330
23,Benevolence,979
23,Conformity,522
23,Hedonism,563
23,Power,385
23,Security,746
23,Self-direction,213
23,Stimulation,479
23,Tradition,337
23,Universalism,443
24,Achievement,327
24,Benevolence,979
24,Conformity,519
24,Hedonism,560
24,Power,381
24,Security,744
24,Self-direction,212
24,Stimulation,475
24,Tradition,334
24,Universalism,440
25,Achievement,331
25,Benevolence,979
25,Conformity,521
25,Hedonism,565
25,Power,386
25,Security,745
25,Self-direction,215
25,Stimulation,482
25,Tradition,337
25,Universalism,444
26,Achievement,328
26,Benevolence,979
26,Conformity,519
26,Hedonism,559
26,Power,382
26,Security,742
26,Self-direction,212
26,Stimulation,476
26,Tradition,336
26,Universalism,439
27,Achievement,332
27,Benevolence,979
27,Conformity,523
27,Hedonism,565
27,Power,387
27,Security,746
27,Self-direction,215
27,Stimulation,482
27,Tradition,339
27,Universalism,442
